canonical_index,identity_key,sku,name,source_sets,final_category,final_subcategories,approved_industries,industry_status,industry_blocker,taxonomy_notes
1,sku:RA268U,RA268U,Casual Braided Belt,Accessories,Accessories,Belts,Corporate | Hospitality | Retail,ready,,
2,sku:RA972L,RA972L,Women's Belt,Accessories,Accessories,Belts,Corporate | Hospitality,ready,,
3,sku:BB248M,BB248M,Men's Standard Belt,Accessories,Accessories,Belts,Corporate | Hospitality,ready,,
4,sku:BB10929,BB10929,Women's Slimline Belt,Accessories,Accessories,Belts,Corporate | Hospitality,ready,,
5,sku:RA572M,RA572M,Men's Leather Belt,Accessories,Accessories,Belts,Corporate | Hospitality,ready,,
6,sku:99300,99300,Men's Leather Reversible Belt,Accessories,Accessories,Belts,Corporate | Hospitality,ready,,
7,sku:7100,7100,Nomad Dad Hat,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
8,sku:H1026,H1026,Slouch Hat With Break-Away Clip Strap,Accessories,Accessories,Headwear,Workwear & Hi-Vis,ready,,
9,sku:1172,1172,Wide Brim Bucket Hat,Accessories,Accessories,Headwear,Workwear & Hi-Vis | Teamwear & Fitness,ready,,
10,sku:3791,3791,Canvas Hat,Accessories,Accessories,Headwear,Workwear & Hi-Vis | Teamwear & Fitness,ready,,
11,sku:HB004,HB004,Manhattan Chef Beanie,Accessories,Accessories,Headwear,Hospitality,ready,,
12,sku:CH333,CH333,Mesh Flat Top Hat,Accessories | Sustainable,Accessories,Headwear | Sustainable,Hospitality,ready,,
13,sku:1171,1171,Nylon Bucket Hat,Accessories | Sustainable,Accessories,Headwear | Sustainable,Workwear & Hi-Vis | Teamwear & Fitness,ready,,
14,sku:1174,1174,Nylon Wide Brim Bucket Hat,Accessories | Sustainable,Accessories,Headwear | Sustainable,Workwear & Hi-Vis | Teamwear & Fitness,ready,,
15,sku:A1000,A1000,Dad Hat,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
16,sku:AH655,AH655,Premium Rpet Bucket Hat,Accessories | Sustainable,Accessories,Headwear | Sustainable,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
17,sku:4287,4287,Surf Hat,Accessories,Accessories,Headwear,Teamwear & Fitness,ready,,
18,sku:AH127,AH127,Organic Cotton Sandwich Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
19,sku:A33,A33,Capri Waist Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
20,sku:AS1130,AS1130,Access Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
21,sku:4058,4058,Mesh Sports Cap,Accessories,Accessories,Headwear,Teamwear & Fitness,ready,,
22,sku:IV170,IV170,Bamboo Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
23,sku:4171,4171,Heavy Brushed Cotton Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
24,sku:3987,3987,Organic Brushed Heavy Cotton/Mesh Back Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
25,sku:AH126,AH126,Pet/Cotton Sandwich Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
26,sku:AH255,AH255,Premium Rpet Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
27,sku:3803,3803,Trucker Mesh Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
28,sku:5FC,5FC,Chefs Cap,Accessories,Accessories,Headwear,Hospitality,ready,,
29,sku:1108,1108,Trucker Cap,Accessories,Accessories,Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,
30,sku:3980,3980,Recycled Breathable Poly Twill Cap,Accessories | Sustainable,Accessories,Sustainable | Headwear,Corporate | Government | Retail | Teamwear & Fitness | Workwear & Hi-Vis,ready,,Removed erroneous Aprons filter; canonical taxonomy is Accessories + Headwear (+ Sustainable where supported).
31,sku:BA35,BA35,Barley Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
32,sku:BA54,BA54,Urban 1/2 Waist Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
33,sku:AB802,AB802,Lockharte Bib Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
34,sku:1080,1080,Canvas Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
35,sku:A31,A31,Colby Waist Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
36,sku:A30,A30,Alfie Bib Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
37,sku:5ACW,5ACW,Waist Canvas Apron-Including Strap,Accessories,Accessories,Aprons,Hospitality,ready,,
38,sku:A03,A03,Bib Apron - A03,Accessories,Accessories,Aprons,Hospitality,ready,,
39,sku:BA40,BA40,Clout Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
40,sku:A100,A100,English Chef Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
41,sku:ACS01,ACS01,Berkeley Chefs Bib Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
42,sku:BA55,BA55,Urban Bib Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
43,sku:BA93,BA93,Continental Style Full Length Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
44,sku:A27,A27,Louie Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
45,sku:BA94,BA94,Short Waisted Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
46,sku:BA75,BA75,Unisex Salt Bib Apron,Accessories,Accessories,Aprons,Hospitality,ready,,
47,sku:BB2606L,BB2606L,Women's Soft Stretch Pant,Bottoms | Suiting | Sustainable,Suiting,Trousers | Sustainable,Corporate | Healthcare | Government,ready,,
48,sku:CL954LL,CL954LL,Women's Comfort Waist Cargo Pant,Bottoms,Bottoms,Pants,Healthcare,ready,,
49,sku:RGP315L,RGP315L,Cool Stretch Women's Tapered Leg Adjustable Waist Pant,Bottoms | Suiting,Suiting,Trousers,Corporate | Healthcare | Government,ready,,
50,sku:CL955LL,CL955LL,Women's Comfort Waist Straight Leg Pant,Bottoms | Suiting,Suiting,Trousers,Corporate | Healthcare | Government,ready,,
51,sku:CA4P,CA4P,City Active Pant,Bottoms | Sustainable,Bottoms,Pants | Sustainable,Corporate | Healthcare | Teamwear & Fitness,ready,,
52,sku:CL040LL,CL040LL,Jane 3/4 Length Stretch Pant,Bottoms,Bottoms,Pants,Corporate | Healthcare,ready,,
53,sku:BS909L,BS909L,Ladies Remy Pant,Bottoms | Suiting,Suiting,Trousers,Corporate | Hospitality | Retail | Government,ready,,
54,sku:CA3P,CA3P,So Ezy Pant,Bottoms | Sustainable,Bottoms,Pants | Sustainable,Corporate | Healthcare,ready,,
55,sku:CL958ML,CL958ML,Men's Comfort Waist Flat Front Pant,Bottoms | Suiting,Suiting,Trousers,Corporate | Hospitality | Government,ready,,
56,sku:BS423L,BS423L,Women's Venture Pant,Bottoms | Sustainable,Bottoms,Pants | Sustainable,Corporate | Healthcare,ready,,
57,sku:CL959ML,CL959ML,Men's Comfort Waist Cargo Pant,Bottoms,Bottoms,Pants,Healthcare,ready,,
58,sku:CH432M,CH432M,Men's Saffron Chef Flex Pant,Bottoms,Bottoms,Pants,Hospitality,ready,,
59,sku:BS724M,BS724M,Men's Lawson Chino Pant,Bottoms,Bottoms,Pants | Chinos,Corporate | Hospitality | Retail,ready,,
60,sku:CH432L,CH432L,Women's Saffron Chef Flex Pant,Bottoms,Bottoms,Pants,Hospitality,ready,,
61,sku:BS724L,BS724L,Ladies Lawson Chino Pant,Bottoms,Bottoms,Pants | Chinos,Corporate | Hospitality | Retail,ready,,
62,sku:RGS264L,RGS264L,Traveller Women's Chino Skirt,Bottoms,Bottoms,Skirts | Chinos,Corporate | Hospitality | Retail,ready,,
63,sku:BS022L,BS022L,Lawson Ladies Chino Skirt,Bottoms,Bottoms,Skirts | Chinos,Corporate | Hospitality | Retail,ready,,
64,sku:CL956LS,CL956LS,Women's Comfort Waist Cargo Skirt,Bottoms,Bottoms,Skirts,Healthcare,ready,,
65,sku:M9380,M9380,Men's Boston Chino,Bottoms,Bottoms,Pants | Chinos,Corporate | Hospitality | Retail,ready,,
66,sku:RGP263L,RGP263L,Traveller Women's Slim Leg Chino,Bottoms,Bottoms,Pants | Chinos,Corporate | Hospitality | Retail,ready,,
67,sku:M9391,M9391,Ladies Stretch Slimfit Boston Chino Shorts,Bottoms,Bottoms,Pants | Chinos,Hospitality | Retail,ready,,
68,sku:M9390,M9390,Ladies Boston Chino,Bottoms,Bottoms,Pants | Chinos,Corporate | Hospitality | Retail,ready,,
69,sku:M9381,M9381,Men's Stretch Slimfit Boston Chino Shorts,Bottoms,Bottoms,Pants | Chinos,Hospitality | Retail,ready,,
70,sku:BS021L,BS021L,Lawson Ladies Chino Short,Bottoms,Bottoms,Shorts | Chinos,Hospitality | Retail,ready,,
71,sku:RGS264L-BIZ,RGS264L-BIZ,Traveller Women's Chino Skirt,Bottoms,Bottoms,Skirts | Chinos,Corporate | Hospitality | Retail,ready,,
72,sku:RGP263M,RGP263M,Traveller Men's Tapered Chino,Bottoms,Bottoms,Pants | Chinos,Corporate | Hospitality | Retail,ready,,
73,sku:CL957LS,CL957LS,Women's Comfort Waist Cargo Short,Bottoms,Bottoms,Shorts,Healthcare,ready,,
74,sku:CL960MS,CL960MS,Men's Comfort Waist Cargo Short,Bottoms,Bottoms,Shorts | Chinos,Healthcare,ready,,
75,sku:BS125L,BS125L,Ladies Bella Pant,Bottoms,Bottoms,Pants,Corporate | Healthcare,ready,,
76,sku:BRIGHT-YARN,BRIGHT-YARN,A Bright Future Essence Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
77,sku:BRIGHT-YARN- UNISEX,BRIGHT-YARN- UNISEX,Unisex -A Bright Future Essence Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
78,sku:FAMILY-YARN,FAMILY-YARN,Family Black Bamboo (Simpson) Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
79,sku:FAMILY-YARN-UNISEX,FAMILY-YARN-UNISEX,Unisex - Family Black Bamboo (Simpson) Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
80,sku:FUTURE-YARN,FUTURE-YARN,Future Dreaming Essence Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
81,sku:FUTURE-YARN-UNISEX,FUTURE-YARN-UNISEX,Unisex - Future Dreaming Essence Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
82,sku:GUIDING-YARN,GUIDING-YARN,Guiding Light Black Bamboo (Simpson) Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
83,sku:GUIDING-YARN- UNISEX,GUIDING-YARN- UNISEX,Unisex - Guiding Light Black Bamboo (Simpson) Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
84,sku:KNOWLEDGE-YARN,KNOWLEDGE-YARN,Knowledge Holders Black Bamboo (Simpson) Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
85,sku:KNOWLEDGE-YARN-UNISEX,KNOWLEDGE-YARN-UNISEX,Unisex - Knowledge Holders Black Bamboo (Simpson) Polo Shirt,First Nations,Tops,Polos | Short Sleeve | First Nations,,pending-client,No approved Industry can be inferred; source only identifies First Nations.,No approved Industry can be inferred; source only identifies First Nations.
