canonical_index,identity_key,sku,name,source_sets,final_category,final_subcategories,approved_industries,industry_status,industry_blocker,taxonomy_notes
276,sku:DA1003,DA1003,"Darani 15"" 19L Computer Backpack In Repreve Recycled Material",Promotional Merchandise,Accessories,Promotional Merchandise | Bags | Sustainable,,pending-client,No approved Industry can be inferred; source identifies Promotional Merchandise (and sometimes Sustainable) only.,No approved Industry can be inferred; source identifies Promotional Merchandise (and sometimes Sustainable) only.
277,sku:TL1001,TL1001,"Thule Achiever 16"" Laptop Backpack",Promotional Merchandise,Accessories,Promotional Merchandise | Bags,,pending-client,No approved Industry can be inferred; source identifies Promotional Merchandise (and sometimes Sustainable) only.,No approved Industry can be inferred; source identifies Promotional Merchandise (and sometimes Sustainable) only.
278,sku:CL541LL,CL541LL,Women's Pulse Jogger Scrub Pant,Scrubs | Sustainable,Bottoms,Scrubs | Sustainable,Healthcare,ready,,
279,sku:CU544US,CU544US,Unisex Pulse V-Neck Scrub Top,Scrubs | Sustainable | Tunics,Tops,Scrubs | Tunics | Sustainable,Healthcare,ready,,
280,sku:CST043LS,CST043LS,Women's Riley V-Neck Scrub Top,Scrubs | Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
281,sku:CL542UL,CL542UL,Unisex Pulse Straight Leg Scrub Pant,Scrubs,Bottoms,Scrubs,Healthcare,ready,,
282,sku:CU543LS,CU543LS,Women's Pulse V-Neck Scrub Top,Scrubs | Sustainable | Tunics,Tops,Scrubs | Tunics | Sustainable,Healthcare,ready,,
283,sku:CSP047LL,CSP047LL,Women's Riley Straight Leg Scrub Pant,Scrubs,Bottoms,Scrubs,Healthcare,ready,,
284,sku:M7660,M7660,Ladies Scrub V-Neck Contrast Trim Top,Scrubs,Tops,Scrubs,Healthcare,ready,,
285,sku:CST043MS,CST043MS,Men's Riley V-Neck Scrub Top,Scrubs | Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
286,sku:M9710,M9710,Men's V-Neck Contrast Trim Scrub Top,Scrubs,Tops,Scrubs,Healthcare,ready,,
287,sku:CST141LS,CST141LS,Women's Tokyo Scrub Top,Scrubs | Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
288,sku:CSP047ML,CSP047ML,Men's Riley Straight Scrub Pant,Scrubs,Bottoms,Scrubs,Healthcare,ready,,
289,sku:CST245LS,CST245LS,Women's Pink V-Neck Scrub Top,Scrubs | Sustainable,Tops,Scrubs | Sustainable,Healthcare,ready,,
290,sku:CSP042LL,CSP042LL,Women's Riley Slim Leg Jogger Scrub Pant,Scrubs,Bottoms,Scrubs,Healthcare,ready,,
291,sku:CST141MS,CST141MS,Men's Tokyo Scrub Top,Scrubs | Tunics,Tops,Scrubs | Tunics,Healthcare,ready,,
292,sku:CSP241LL,CSP241LL,Women's Pink Jogger Scrub Pant,Scrubs | Sustainable,Bottoms,Scrubs | Sustainable,Healthcare,ready,,
293,sku:CSP042ML,CSP042ML,Men's Riley Slim Leg Jogger Scrub Pant,Scrubs,Bottoms,Scrubs,Healthcare,ready,,
