canonical_index,identity_key,sku,name,source_sets,final_category,final_subcategories,approved_industries,industry_status,industry_blocker,taxonomy_notes
331,sku:1520WL,1520WL,Womens Nicholson Premium Poplin Long Sleeve Shirt,Shirts,Tops,Long Sleeve,Corporate | Education | Government,ready,,
332,sku:1520WS,1520WS,Womens Nicholson Premium Poplin Short Sleeve Shirt,Shirts,Tops,Short Sleeve,Corporate | Education | Government,ready,,
333,sku:1899WL,1899WL,Bradford Womens Fine Oxford Long Sleeve Shirt,Shirts,Tops,Long Sleeve,Corporate | Education | Government,ready,,
334,sku:1898L,1898L,Bradford Fine Oxford Long Sleeve Shirt,Shirts,Tops,Long Sleeve,Corporate | Education | Government,ready,,
335,sku:49-430,49-430,Slip On Shoe,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
336,sku:440,440,Premium Elastic Sided Boot W/ Scuff Cap,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
337,sku:49-445Z,49-445Z,Women's Black Zip Sided Boot,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
338,sku:49-450Z,49-450Z,Women’s Stone Zip Sided Low-Cut Boot,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
339,sku:49-432Z,49-432Z,Women's Wheat Zip Sided Boot,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
340,sku:630797W,630797W,Women's Tornado,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
341,sku:34-652,34-652,Men's Black Lace Up Derby Shoe,Shoes,Shoes,,Retail | Government | Corporate,ready,,
342,sku:45-627,45-627,Men's Brown Elastic Sided Boot,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
343,sku:ROLLIE-CLUB,ROLLIE-CLUB,Men's Courtclub,Shoes,Shoes,,Retail | Government | Corporate,ready,,
344,sku:ROLLIE-DERBY,ROLLIE-DERBY,Men’s Derby,Shoes,Shoes,,Retail | Government | Corporate,ready,,
345,sku:SC01535,SC01535,Women's Court Club,Shoes,Shoes,,Retail | Government | Corporate,ready,,
346,sku:SC00129,SC00129,Women's Derby City,Shoes,Shoes,,Retail | Government | Corporate,ready,,
347,sku:261,261,Men's Zipsider Boot,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
348,sku:240,240,Elastic Sided Boot,Shoes,Shoes,,Workwear & Hi-Vis,ready,,
349,sku:RBL068M,RBL068M,Men's Arden Blazer,Suiting,Suiting,Blazers,Corporate | Government,ready,,
350,sku:RBL068L,RBL068L,Arden Blazer,Suiting,Suiting,Blazers,Corporate | Government,ready,,
