canonical_index,identity_key,sku,name,supplier,fabric,size_range,gender,source_sets,source_row_count,actual_colors,color_tags,source_extra_filters,source_industries,name_variants,gender_variants,has_conflict,final_category,category_basis,final_subcategories,approved_industries,dropped_source_industries,industry_status,industry_blocker,taxonomy_notes
331,sku:1520WL,1520WL,Womens Nicholson Premium Poplin Long Sleeve Shirt,Gloweave,"65% polyester, 35% cotton",6 - 26,,Shirts,1,Black | Star White | French Blue | Navy | Charcoal | Silver | Sky,Black | White | Blue | Navy | Grey,Long Sleeve,Corporate | Education | Government | Services,Womens Nicholson Premium Poplin Long Sleeve Shirt,,False,Tops,Top/apparel source set,Long Sleeve,Corporate | Education | Government,Services,ready,,
332,sku:1520WS,1520WS,Womens Nicholson Premium Poplin Short Sleeve Shirt,Gloweave,"65% polyester, 35% cotton",6 - 26,,Shirts,1,Black | Star White | French Blue | Navy | Charcoal | Silver | Sky,Black | White | Blue | Navy | Grey,Short Sleeve,Corporate | Education | Government | Services,Womens Nicholson Premium Poplin Short Sleeve Shirt,,False,Tops,Top/apparel source set,Short Sleeve,Corporate | Education | Government,Services,ready,,
333,sku:1899WL,1899WL,Bradford Womens Fine Oxford Long Sleeve Shirt,Gloweave,"60% cotton, 40% polyester",6 - 26,,Shirts,1,Blue | White | Navy,Blue | White | Navy,Long Sleeve,Corporate | Education | Government | Services,Bradford Womens Fine Oxford Long Sleeve Shirt,,False,Tops,Top/apparel source set,Long Sleeve,Corporate | Education | Government,Services,ready,,
334,sku:1898L,1898L,Bradford Fine Oxford Long Sleeve Shirt,Gloweave,"60% cotton, 40% polyester",37 - 60,,Shirts,1,Blue | White | Navy,Blue | White | Navy,Long Sleeve,Corporate | Education | Government | Services,Bradford Fine Oxford Long Sleeve Shirt,,False,Tops,Top/apparel source set,Long Sleeve,Corporate | Education | Government,Services,ready,,
335,sku:49-430,49-430,Slip On Shoe,Oliver Bootmakers,,35 - 42,Unisex,Shoes,1,Black,Black,,Hi Vis & Workwear,Slip On Shoe,Unisex,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
336,sku:440,440,Premium Elastic Sided Boot W/ Scuff Cap,Oliver Bootmakers,,,Unisex,Shoes,1,Black,Black,,Hi Vis & Workwear,Premium Elastic Sided Boot W/ Scuff Cap,Unisex,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
337,sku:49-445Z,49-445Z,Women's Black Zip Sided Boot,Oliver Bootmakers,,35-42,Women's,Shoes,1,Black,Black,,Hi Vis & Workwear,Women's Black Zip Sided Boot,Women's,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
338,sku:49-450Z,49-450Z,Women’s Stone Zip Sided Low-Cut Boot,Oliver Bootmakers,,35-42,Women's,Shoes,1,Black,Black,,Hi Vis & Workwear,Women’s Stone Zip Sided Low-Cut Boot,Women's,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
339,sku:49-432Z,49-432Z,Women's Wheat Zip Sided Boot,Oliver Bootmakers,,35-42,Women's,Shoes,1,Wheat,Stone,,Hi Vis & Workwear,Women's Wheat Zip Sided Boot,Women's,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
340,sku:630797W,630797W,Women's Tornado,Puma footwear,,6 - 13,Women's,Shoes,1,Black | Wheat | Stone,Black | Stone,,Hi Vis & Workwear,Women's Tornado,Women's,False,Shoes,Shoes source set,,Workwear & Hi-Vis,,ready,,
